Page,topic,Date,Pageviews
/article/setting-a-course-for-impact-analysis-in-5-steps/,"impact,inside-the-newsroom",20170207,8
/article/setting-a-course-for-impact-analysis-in-5-steps/,"impact,inside-the-newsroom",20170208,8
/article/setting-a-course-for-impact-analysis-in-5-steps/,"impact,inside-the-newsroom",20170321,8
/article/she-runs-disastrous-day-cares-but-her-church-makes-her-untouchable/,"religion,the-god-loophole",20170106,8
/article/she-runs-disastrous-day-cares-but-her-church-makes-her-untouchable/,"religion,the-god-loophole",20170115,8
/article/she-runs-disastrous-day-cares-but-her-church-makes-her-untouchable/,"religion,the-god-loophole",20170116,8
/article/she-runs-disastrous-day-cares-but-her-church-makes-her-untouchable/,"religion,the-god-loophole",20170119,8
/article/she-runs-disastrous-day-cares-but-her-church-makes-her-untouchable/,"religion,the-god-loophole",20170122,8
/article/she-runs-disastrous-day-cares-but-her-church-makes-her-untouchable/,"religion,the-god-loophole",20170124,8
/article/she-runs-disastrous-day-cares-but-her-church-makes-her-untouchable/,"religion,the-god-loophole",20170202,8
/article/she-runs-disastrous-day-cares-but-her-church-makes-her-untouchable/,"religion,the-god-loophole",20170203,8
/article/she-runs-disastrous-day-cares-but-her-church-makes-her-untouchable/,"religion,the-god-loophole",20170212,8
/article/she-runs-disastrous-day-cares-but-her-church-makes-her-untouchable/,"religion,the-god-loophole",20170213,8
/article/she-runs-disastrous-day-cares-but-her-church-makes-her-untouchable/,"religion,the-god-loophole",20170319,8
/article/she-runs-disastrous-day-cares-but-her-church-makes-her-untouchable/,"religion,the-god-loophole",20170322,8
/article/she-runs-disastrous-day-cares-but-her-church-makes-her-untouchable/,"religion,the-god-loophole",20170326,8
/article/she-spoke-about-jehovahs-witness-abuse-and-her-home-was-vandalized/,"jehovahs-witnesses,religion",20170101,8
/article/she-spoke-about-jehovahs-witness-abuse-and-her-home-was-vandalized/,"jehovahs-witnesses,religion",20170113,8
/article/she-spoke-about-jehovahs-witness-abuse-and-her-home-was-vandalized/,"jehovahs-witnesses,religion",20170117,8
/article/she-spoke-about-jehovahs-witness-abuse-and-her-home-was-vandalized/,"jehovahs-witnesses,religion",20170119,8
/article/she-spoke-about-jehovahs-witness-abuse-and-her-home-was-vandalized/,"jehovahs-witnesses,religion",20170126,8
/article/she-spoke-about-jehovahs-witness-abuse-and-her-home-was-vandalized/,"jehovahs-witnesses,religion",20170127,8
/article/she-spoke-about-jehovahs-witness-abuse-and-her-home-was-vandalized/,"jehovahs-witnesses,religion",20170311,8
/article/she-spoke-about-jehovahs-witness-abuse-and-her-home-was-vandalized/,"jehovahs-witnesses,religion",20170320,8
/article/she-spoke-about-jehovahs-witness-abuse-and-her-home-was-vandalized/,"jehovahs-witnesses,religion",20170326,8
/article/shockwaves-from-trumps-election-will-reinvigorate-our-journalism/,"inside-the-newsroom,the-trump-era",20170201,8
/article/shootings-by-security-guards-rarely-reported-let-alone-investigated/,"criminal-justice,guns,security-guards",20170102,8
/article/shootings-by-security-guards-rarely-reported-let-alone-investigated/,"criminal-justice,guns,security-guards",20170201,8
/article/shootings-by-security-guards-rarely-reported-let-alone-investigated/,"criminal-justice,guns,security-guards",20170202,8
/article/shootings-by-security-guards-rarely-reported-let-alone-investigated/,"criminal-justice,guns,security-guards",20170204,8
/article/shootings-by-security-guards-rarely-reported-let-alone-investigated/,"criminal-justice,guns,security-guards",20170218,8
/article/shot-and-gassed-thousands-of-protected-birds-killed-annually/,environment,20170119,8
/article/shot-and-gassed-thousands-of-protected-birds-killed-annually/,environment,20170120,8
/article/shot-and-gassed-thousands-of-protected-birds-killed-annually/,environment,20170125,8
/article/shot-and-gassed-thousands-of-protected-birds-killed-annually/,environment,20170228,8
/article/six-weeks-in-autumn/,accountability,20170314,8
/article/south-africas-nuclear-underground/,accountability,20170124,8
/article/southwests-forests-may-never-recover-from-mega-fires/,environment,20170213,8
/article/store-owner-uses-1st-amendment-to-challenge-handgun-advertising-ban/,"guns,guns-and-society",20170105,8
/article/subprime-lending-execs-back-in-business-5-years-after-crash/,money-and-politics,20170324,8
/article/survey-of-pawnshop-users-shows-where-banks-fail-low-income-americans/,inequality,20170108,8
/article/survey-of-pawnshop-users-shows-where-banks-fail-low-income-americans/,inequality,20170109,8
/article/survey-of-pawnshop-users-shows-where-banks-fail-low-income-americans/,inequality,20170114,8
/article/survey-of-pawnshop-users-shows-where-banks-fail-low-income-americans/,inequality,20170117,8
/article/survey-of-pawnshop-users-shows-where-banks-fail-low-income-americans/,inequality,20170128,8
/article/survey-of-pawnshop-users-shows-where-banks-fail-low-income-americans/,inequality,20170130,8
/article/survey-of-pawnshop-users-shows-where-banks-fail-low-income-americans/,inequality,20170220,8
/article/survey-of-pawnshop-users-shows-where-banks-fail-low-income-americans/,inequality,20170328,8
/article/survivor-recounts-life-of-rape-abuse-by-your-black-muslim-bakery-leader/,criminal-justice,20170307,8
/article/system-turns-us-fishing-rights-into-commodity-squeezes-small-fishermen/,environment,20170302,8
/article/techraking-19-from-sensors-to-solutions/,inside-the-newsroom,20170221,8
/article/techraking-19-from-sensors-to-solutions/,inside-the-newsroom,20170224,8
/article/tension-over-obama-policies-within-immigration-and-customs-enforcement/,national-security,20170129,8
/article/texas-a-flashpoint-in-debate-over-right-to-film-police/,"local-law-enforcement,surveillance-privacy",20170326,8
/article/the-air-is-dark-and-asthma-is-deadly-along-the-mexico-border/,environment,20170105,8
/article/the-air-is-dark-and-asthma-is-deadly-along-the-mexico-border/,environment,20170119,8
/article/the-air-is-dark-and-asthma-is-deadly-along-the-mexico-border/,environment,20170120,8
/article/the-air-is-dark-and-asthma-is-deadly-along-the-mexico-border/,environment,20170131,8
/article/the-air-is-dark-and-asthma-is-deadly-along-the-mexico-border/,environment,20170205,8
/article/the-air-is-dark-and-asthma-is-deadly-along-the-mexico-border/,environment,20170223,8
/article/the-air-is-dark-and-asthma-is-deadly-along-the-mexico-border/,environment,20170226,8
/article/the-air-is-dark-and-asthma-is-deadly-along-the-mexico-border/,environment,20170309,8
/article/the-air-is-dark-and-asthma-is-deadly-along-the-mexico-border/,environment,20170319,8
/article/the-answer-to-our-readers-biggest-water-question-what-does-it-cost/,"environment,the-secrets-of-the-drought",20170307,8
/article/the-buzzkill-about-caffeine/,"food-security,healthcare",20170207,8
/article/the-buzzkill-about-caffeine/,"food-security,healthcare",20170217,8
/article/the-buzzkill-about-caffeine/,"food-security,healthcare",20170223,8
/article/the-buzzkill-about-caffeine/,"food-security,healthcare",20170316,8
