Page,topic,Date,Pageviews
/blog/hundreds-of-marines-investigated-for-sharing-photos-of-naked-colleagues/,accountability,20170306,"150,962"
/blog/hundreds-of-marines-investigated-for-sharing-photos-of-naked-colleagues/,accountability,20170305,"113,479"
/blog/hundreds-of-marines-investigated-for-sharing-photos-of-naked-colleagues/,accountability,20170307,"40,771"
/blog/hundreds-of-marines-investigated-for-sharing-photos-of-naked-colleagues/,accountability,20170310,"20,924"
/blog/draft-of-trump-executive-order-allows-firing-based-on-religion/,"accountability,inequality,the-trump-era",20170201,"18,651"
/blog/draft-of-trump-executive-order-allows-firing-based-on-religion/,"accountability,inequality,the-trump-era",20170202,"14,230"
/blog/hundreds-of-marines-investigated-for-sharing-photos-of-naked-colleagues/,accountability,20170309,"14,153"
/blog/hundreds-of-marines-investigated-for-sharing-photos-of-naked-colleagues/,accountability,20170308,"12,610"
/blog/hundreds-of-marines-investigated-for-sharing-photos-of-naked-colleagues/,accountability,20170311,"12,501"
/blog/draft-of-trump-executive-order-allows-firing-based-on-religion/,"accountability,inequality,the-trump-era",20170204,"11,900"
/blog/hundreds-of-marines-investigated-for-sharing-photos-of-naked-colleagues/,accountability,20170304,"11,276"
/article/riding-high-crashing-hard-a-cautionary-tale-of-facebook-dependence/,accountability,20170305,"9,724"
/blog/hundreds-of-marines-investigated-for-sharing-photos-of-naked-colleagues/,accountability,20170314,"7,592"
/blog/journalist-among-76-arrested-for-trespassing-at-standing-rock/,"chasing-energy,oil-and-mining,sustainability",20170202,"6,412"
/blog/draft-of-trump-executive-order-allows-firing-based-on-religion/,"accountability,inequality,the-trump-era",20170205,"6,093"
/blog/hundreds-of-marines-investigated-for-sharing-photos-of-naked-colleagues/,accountability,20170312,"5,662"
/article/riding-high-crashing-hard-a-cautionary-tale-of-facebook-dependence/,accountability,20170306,"4,904"
/article/white-nationalist-gets-his-money-from-cotton-fields-and-the-government/,accountability,20170318,"4,651"
/blog/hundreds-of-marines-investigated-for-sharing-photos-of-naked-colleagues/,accountability,20170315,"4,594"
/blog/detainees-at-airports-cant-talk-to-lawyers-despite-court-order/,"accountability,border-patrol,inequality,national-security,the-trump-era",20170129,"4,098"
/blog/steve-bannon-had-a-big-weekend-in-the-white-house-get-to-know-him/,the-trump-era,20170131,"3,869"
/blog/hundreds-of-marines-investigated-for-sharing-photos-of-naked-colleagues/,accountability,20170313,"3,784"
/article/trump-could-build-registry-of-1-4-million-muslims-for-under-20000/,"accountability,national-security",20170108,"3,639"
/article/this-tool-cuts-fingers-and-gashes-faces-but-shipbuilder-still-uses-it/,accountability,20170217,"3,288"
/blog/detainees-at-airports-cant-talk-to-lawyers-despite-court-order/,"accountability,border-patrol,inequality,national-security,the-trump-era",20170130,"3,067"
/article/white-nationalist-gets-his-money-from-cotton-fields-and-the-government/,accountability,20170319,"2,970"
/article/he-was-supposed-to-protect-the-sea-then-he-vanished-from-his-ship/,sustainability,20170220,"2,930"
/article/white-nationalist-gets-his-money-from-cotton-fields-and-the-government/,accountability,20170317,"2,902"
/blog/trumps-wall-wrong-path-for-immigration-reform-analysts-say/,"border-patrol,national-security",20170125,"2,785"
/article/this-tool-cuts-fingers-and-gashes-faces-but-shipbuilder-still-uses-it/,accountability,20170216,"2,515"
/article/he-was-supposed-to-protect-the-sea-then-he-vanished-from-his-ship/,sustainability,20170221,"2,309"
/blog/hundreds-of-marines-investigated-for-sharing-photos-of-naked-colleagues/,accountability,20170317,"2,277"
/blog/these-border-bids-are-subtle-resistance-to-trumps-wall/,"the-trump-era,the-wall",20170329,"2,176"
/blog/hundreds-of-marines-investigated-for-sharing-photos-of-naked-colleagues/,accountability,20170316,"2,172"
/blog/how-immediate-enforcement-turned-trumps-immigration-order-into-chaos/,the-trump-era,20170130,"2,148"
/article/alabama-woman-who-ran-dangerous-day-cares-appears-to-be-out-of-business/,"accountability,the-god-loophole",20170109,"2,120"
